mu,met,j,nmi,nc_norm
5,LV_grp02_ST,0,0.968,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.959,1.2973
5,LV_grp02_ST,0,0.96,1.2973
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.961,1.2973
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.97,1.3243
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.962,1.2973
5,LV_grp02_ST,0,0.966,1.3243
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.966,1.3243
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.96,1.2973
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.97,1.3243
5,LV_grp02_ST,0,0.963,1.2973
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.964,1.2973
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.966,1.3243
5,LV_grp02_ST,0,0.949,1.2703
5,LV_grp02_ST,0,0.968,1.3514
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.968,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.96,1.2973
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.969,1.3243
5,LV_grp02_ST,0,0.967,1.3243
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.968,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.963,1.3243
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.966,1.3243
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.968,1.3514
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.965,1.3243
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.968,1.3243
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.97,1.3514
5,LV_grp02_ST,0,0.97,1.3243
5,LV_grp02_ST,0,0.967,1.3514
5,LV_grp02_ST,0,0.969,1.3514
5,LV_cons_gamma_LIM,0,0.967,1.2432
5,LV_cons_LF,1,0.967,1.3784
5,LV_cons_LF,2,0.967,1.3784
10,LV_grp02_ST,0,0.904,1.0811
10,LV_grp02_ST,0,0.905,1.1081
10,LV_grp02_ST,0,0.903,1.0811
10,LV_grp02_ST,0,0.903,1.1081
10,LV_grp02_ST,0,0.902,1.1081
10,LV_grp02_ST,0,0.896,1.0811
10,LV_grp02_ST,0,0.903,1.1081
10,LV_grp02_ST,0,0.902,1.1081
10,LV_grp02_ST,0,0.909,1.1081
10,LV_grp02_ST,0,0.902,1.0811
10,LV_grp02_ST,0,0.908,1.1081
10,LV_grp02_ST,0,0.908,1.1081
10,LV_grp02_ST,0,0.906,1.1081
10,LV_grp02_ST,0,0.908,1.1081
10,LV_grp02_ST,0,0.903,1.1081
10,LV_grp02_ST,0,0.885,1.0541
10,LV_grp02_ST,0,0.902,1.0811
10,LV_grp02_ST,0,0.876,1.027
10,LV_grp02_ST,0,0.915,1.1351
10,LV_grp02_ST,0,0.887,1.0541
10,LV_grp02_ST,0,0.894,1.0811
10,LV_grp02_ST,0,0.887,1.0541
10,LV_grp02_ST,0,0.89,1.0541
10,LV_grp02_ST,0,0.905,1.1081
10,LV_grp02_ST,0,0.905,1.1081
10,LV_grp02_ST,0,0.895,1.0811
10,LV_grp02_ST,0,0.89,1.0811
10,LV_grp02_ST,0,0.911,1.1351
10,LV_grp02_ST,0,0.898,1.0811
10,LV_grp02_ST,0,0.88,1.0541
10,LV_grp02_ST,0,0.9,1.0811
10,LV_grp02_ST,0,0.9,1.1081
10,LV_grp02_ST,0,0.906,1.1081
10,LV_grp02_ST,0,0.878,1.027
10,LV_grp02_ST,0,0.907,1.1081
10,LV_grp02_ST,0,0.912,1.1351
10,LV_grp02_ST,0,0.89,1.0541
10,LV_grp02_ST,0,0.897,1.0811
10,LV_grp02_ST,0,0.907,1.1081
10,LV_grp02_ST,0,0.905,1.0811
10,LV_grp02_ST,0,0.89,1.0541
10,LV_grp02_ST,0,0.901,1.0811
10,LV_grp02_ST,0,0.89,1.0541
10,LV_grp02_ST,0,0.876,1.027
10,LV_grp02_ST,0,0.9,1.0811
10,LV_grp02_ST,0,0.895,1.0811
10,LV_grp02_ST,0,0.909,1.1081
10,LV_grp02_ST,0,0.891,1.0541
10,LV_grp02_ST,0,0.904,1.1081
10,LV_grp02_ST,0,0.898,1.0811
10,LV_grp02_ST,0,0.912,1.1351
10,LV_grp02_ST,0,0.906,1.1081
10,LV_grp02_ST,0,0.88,1.027
10,LV_grp02_ST,0,0.897,1.0811
10,LV_grp02_ST,0,0.896,1.0811
10,LV_grp02_ST,0,0.905,1.1081
10,LV_grp02_ST,0,0.904,1.0811
10,LV_grp02_ST,0,0.902,1.1081
10,LV_grp02_ST,0,0.894,1.0811
10,LV_grp02_ST,0,0.911,1.1081
10,LV_grp02_ST,0,0.908,1.1081
10,LV_grp02_ST,0,0.908,1.1081
10,LV_grp02_ST,0,0.897,1.0811
10,LV_grp02_ST,0,0.905,1.1081
10,LV_grp02_ST,0,0.896,1.0541
10,LV_grp02_ST,0,0.922,1.1622
10,LV_grp02_ST,0,0.908,1.1081
10,LV_grp02_ST,0,0.891,1.0811
10,LV_grp02_ST,0,0.902,1.1081
10,LV_grp02_ST,0,0.905,1.0811
